Species,Count
London planetree,87014
honeylocust,64264
Callery pear,58931
pin oak,53185
Norway maple,34189
littleleaf linden,29742
cherry,29279
Japanese zelkova,29258
ginkgo,21024
Sophora,19338
red maple,17246
green ash,16251
American linden,13530
silver maple,12277
sweetgum,10657
northern red oak,8400
silver linden,7995
American elm,7975
maple,7080
purple-leaf plum,6879
swamp white oak,6598
crimson king maple,5923
Chinese elm,5345
'Schubert' chokecherry,4888
Japanese tree lilac,4568
eastern redbud,3801
golden raintree,3719
crab apple,3527
Kentucky coffeetree,3364
willow oak,3184
dawn redwood,3020
hawthorn,2988
sugar maple,2844
sycamore maple,2731
ash,2609
hedge maple,2550
common hackberry,2382
sawtooth oak,2244
Amur maackia,2197
European hornbeam,2099
Amur maple,2049
serviceberry,2032
black locust,1784
white oak,1686
English oak,1644
Siberian elm,1595
flowering dogwood,1552
American hornbeam,1517
Schumard's oak,1487
scarlet oak,1465
black oak,1327
bald cypress,1261
mulberry,1157
Japanese maple,1130
white ash,1121
eastern redcedar,1101
horse chestnut,1096
American hophornbeam,1081
tulip-poplar,1076
Cornelian cherry,1066
shingle oak,1049
hardy rubber tree,915
katsura tree,911
tree of heaven,756
magnolia,699
black cherry,607
river birch,565
catalpa,551
paper birch,535
bur oak,515
Kentucky yellowwood,479
Chinese tree lilac,462
crepe myrtle,442
Japanese hornbeam,426
Japanese snowbell,392
Norway spruce,355
Atlantic white cedar,355
cockspur hawthorn,341
arborvitae,328
Turkish hazelnut,317
kousa dogwood,302
silver birch,300
black walnut,295
pine,289
blackgum,288
weeping willow,282
pagoda dogwood,280
Persian ironwood,277
eastern cottonwood,276
American beech,273
empress tree,245
Chinese fringetree,234
two-winged silverbell,221
paperbark maple,220
Oklahoma redbud,219
white pine,202
spruce,202
Amur cork tree,183
pond cypress,181
Chinese chestnut,173
sassafras,171
cucumber magnolia,169
mimosa,163
tartar maple,153
holly,138
southern magnolia,132
blue spruce,126
European beech,125
red horse chestnut,116
black maple,114
trident maple,110
false cypress,108
red pine,106
pignut hickory,99
bigtooth aspen,94
eastern hemlock,88
Atlas cedar,87
Douglas-fir,85
quaking aspen,83
southern red oak,83
Ohio buckeye,75
Himalayan cedar,72
boxelder,64
Shantung maple,59
smoketree,58
European alder,47
American larch,46
black pine,37
pitch pine,33
Osage-orange,29
Scots pine,25
Virginia pine,10
